item_id,majority_vote_label,score
cnn_100_sent0_CNN,1,1.0
cnn_100_sent1_CNN,1,1.0
cnn_100_sent2_CNN,1,1.0
cnn_101_sent0_CNN,1,1.0
cnn_101_sent1_CNN,1,1.0
cnn_101_sent2_CNN,1,1.0
cnn_102_sent0_CNN,0,0.0
cnn_102_sent1_CNN,1,1.0
cnn_102_sent2_CNN,1,1.0
cnn_102_sent3_CNN,0,0.0
cnn_103_sent0_CNN,1,1.0
cnn_103_sent1_CNN,1,1.0
cnn_103_sent2_CNN,0,0.0
cnn_104_sent0_CNN,1,1.0
cnn_104_sent1_CNN,1,1.0
cnn_104_sent2_CNN,1,1.0
cnn_105_sent0_CNN,0,0.0
cnn_105_sent1_CNN,1,1.0
cnn_105_sent2_CNN,1,1.0
cnn_106_sent0_CNN,1,1.0
cnn_106_sent1_CNN,0,0.0
cnn_106_sent2_CNN,1,1.0
cnn_107_sent0_CNN,1,1.0
cnn_107_sent1_CNN,1,1.0
cnn_107_sent2_CNN,1,1.0
cnn_108_sent0_CNN,1,1.0
cnn_108_sent1_CNN,1,1.0
cnn_108_sent2_CNN,0,0.0
cnn_109_sent0_CNN,0,0.0
cnn_109_sent1_CNN,1,1.0
cnn_109_sent2_CNN,0,0.0
cnn_10_sent0_CNN,1,1.0
cnn_10_sent1_CNN,1,1.0
cnn_10_sent2_CNN,1,1.0
cnn_110_sent0_CNN,1,1.0
cnn_110_sent1_CNN,1,1.0
cnn_110_sent2_CNN,1,1.0
cnn_110_sent3_CNN,1,1.0
cnn_111_sent0_CNN,0,0.0
cnn_111_sent1_CNN,1,1.0
cnn_111_sent2_CNN,0,0.0
cnn_112_sent0_CNN,1,1.0
cnn_112_sent1_CNN,1,1.0
cnn_112_sent2_CNN,1,1.0
cnn_113_sent0_CNN,1,1.0
cnn_113_sent1_CNN,0,0.0
cnn_113_sent2_CNN,0,0.0
cnn_114_sent0_CNN,1,1.0
cnn_114_sent1_CNN,0,0.0
