item_id,majority_vote_label,score
mtbench_100_turn1_alpaca-13b,2,1.0
mtbench_100_turn1_claude-v1,0,0.0
mtbench_100_turn1_gpt-3.5-turbo,2,1.0
mtbench_100_turn1_gpt-4,2,1.0
mtbench_100_turn1_llama-13b,0,0.0
mtbench_100_turn1_vicuna-13b-v1.2,0,0.0
mtbench_100_turn2_alpaca-13b,2,1.0
mtbench_100_turn2_claude-v1,0,0.0
mtbench_100_turn2_gpt-3.5-turbo,2,1.0
mtbench_100_turn2_gpt-4,2,1.0
mtbench_100_turn2_llama-13b,0,0.0
mtbench_100_turn2_vicuna-13b-v1.2,2,1.0
mtbench_101_turn1_alpaca-13b,0,0.0
mtbench_101_turn1_claude-v1,1,0.5
mtbench_101_turn1_gpt-3.5-turbo,1,0.5
mtbench_101_turn1_gpt-4,2,1.0
mtbench_101_turn1_llama-13b,0,0.0
mtbench_101_turn1_vicuna-13b-v1.2,1,0.5
mtbench_101_turn2_alpaca-13b,1,0.5
mtbench_101_turn2_claude-v1,0,0.0
mtbench_101_turn2_gpt-3.5-turbo,2,1.0
mtbench_101_turn2_gpt-4,2,1.0
mtbench_101_turn2_llama-13b,0,0.0
mtbench_101_turn2_vicuna-13b-v1.2,1,0.5
mtbench_102_turn1_alpaca-13b,0,0.0
mtbench_102_turn1_claude-v1,0,0.0
mtbench_102_turn1_gpt-3.5-turbo,2,1.0
mtbench_102_turn1_gpt-4,2,1.0
mtbench_102_turn1_llama-13b,1,0.5
mtbench_102_turn1_vicuna-13b-v1.2,1,0.5
mtbench_102_turn2_alpaca-13b,1,0.5
mtbench_102_turn2_claude-v1,1,0.5
mtbench_102_turn2_gpt-3.5-turbo,1,0.5
mtbench_102_turn2_gpt-4,1,0.5
mtbench_102_turn2_llama-13b,0,0.0
mtbench_102_turn2_vicuna-13b-v1.2,2,1.0
mtbench_103_turn1_alpaca-13b,0,0.0
mtbench_103_turn1_claude-v1,2,1.0
mtbench_103_turn1_gpt-3.5-turbo,2,1.0
mtbench_103_turn1_gpt-4,2,1.0
mtbench_103_turn1_llama-13b,0,0.0
mtbench_103_turn1_vicuna-13b-v1.2,1,0.5
mtbench_103_turn2_alpaca-13b,0,0.0
mtbench_103_turn2_claude-v1,2,1.0
mtbench_103_turn2_gpt-3.5-turbo,2,1.0
mtbench_103_turn2_gpt-4,2,1.0
mtbench_103_turn2_llama-13b,0,0.0
mtbench_103_turn2_vicuna-13b-v1.2,0,0.0
mtbench_104_turn1_alpaca-13b,1,0.5
mtbench_104_turn1_claude-v1,2,1.0
mtbench_104_turn1_gpt-3.5-turbo,1,0.5
mtbench_104_turn1_gpt-4,1,0.5
mtbench_104_turn1_llama-13b,1,0.5
mtbench_104_turn1_vicuna-13b-v1.2,1,0.5
mtbench_104_turn2_alpaca-13b,1,0.5
mtbench_104_turn2_claude-v1,1,0.5
mtbench_104_turn2_gpt-3.5-turbo,2,1.0
mtbench_104_turn2_gpt-4,1,0.5
mtbench_104_turn2_llama-13b,1,0.5
mtbench_104_turn2_vicuna-13b-v1.2,1,0.5
mtbench_105_turn1_alpaca-13b,1,0.5
mtbench_105_turn1_claude-v1,1,0.5
mtbench_105_turn1_gpt-3.5-turbo,1,0.5
mtbench_105_turn1_gpt-4,1,0.5
mtbench_105_turn1_llama-13b,1,0.5
mtbench_105_turn1_vicuna-13b-v1.2,1,0.5
mtbench_105_turn2_alpaca-13b,1,0.5
mtbench_105_turn2_claude-v1,1,0.5
mtbench_105_turn2_gpt-3.5-turbo,1,0.5
mtbench_105_turn2_gpt-4,1,0.5
mtbench_105_turn2_llama-13b,1,0.5
mtbench_105_turn2_vicuna-13b-v1.2,1,0.5
mtbench_106_turn1_alpaca-13b,0,0.0
mtbench_106_turn1_claude-v1,2,1.0
mtbench_106_turn1_gpt-3.5-turbo,1,0.5
mtbench_106_turn1_gpt-4,2,1.0
mtbench_106_turn1_llama-13b,1,0.5
mtbench_106_turn1_vicuna-13b-v1.2,1,0.5
mtbench_106_turn2_alpaca-13b,0,0.0
mtbench_106_turn2_claude-v1,2,1.0
mtbench_106_turn2_gpt-3.5-turbo,1,0.5
mtbench_106_turn2_gpt-4,2,1.0
mtbench_106_turn2_llama-13b,0,0.0
mtbench_106_turn2_vicuna-13b-v1.2,1,0.5
mtbench_107_turn1_alpaca-13b,0,0.0
mtbench_107_turn1_claude-v1,1,0.5
mtbench_107_turn1_gpt-3.5-turbo,1,0.5
mtbench_107_turn1_gpt-4,1,0.5
mtbench_107_turn1_llama-13b,1,0.5
mtbench_107_turn1_vicuna-13b-v1.2,1,0.5
mtbench_107_turn2_alpaca-13b,2,1.0
mtbench_107_turn2_claude-v1,2,1.0
mtbench_107_turn2_gpt-3.5-turbo,1,0.5
mtbench_107_turn2_gpt-4,0,0.0
mtbench_107_turn2_llama-13b,0,0.0
mtbench_107_turn2_vicuna-13b-v1.2,2,1.0
mtbench_108_turn1_alpaca-13b,1,0.5
mtbench_108_turn1_claude-v1,1,0.5
mtbench_108_turn1_gpt-3.5-turbo,1,0.5
mtbench_108_turn1_gpt-4,2,1.0
mtbench_108_turn1_llama-13b,1,0.5
mtbench_108_turn1_vicuna-13b-v1.2,1,0.5
mtbench_108_turn2_alpaca-13b,1,0.5
mtbench_108_turn2_claude-v1,1,0.5
