item_id,agent_id,annotator_id,label
cnn_1_sent0,CNN,worker_0,1
cnn_1_sent0,CNN,worker_3,0
cnn_1_sent0,CNN,worker_25,1
cnn_1_sent1,CNN,worker_0,1
cnn_1_sent1,CNN,worker_3,1
cnn_1_sent1,CNN,worker_25,1
cnn_1_sent2,CNN,worker_0,1
cnn_1_sent2,CNN,worker_3,1
cnn_1_sent2,CNN,worker_25,1
cnn_2_sent0,CNN,worker_0,1
cnn_2_sent0,CNN,worker_2,1
cnn_2_sent0,CNN,worker_48,1
cnn_2_sent1,CNN,worker_0,1
cnn_2_sent1,CNN,worker_2,1
cnn_2_sent1,CNN,worker_48,1
cnn_2_sent2,CNN,worker_0,1
cnn_2_sent2,CNN,worker_2,1
cnn_2_sent2,CNN,worker_48,1
cnn_3_sent0,CNN,worker_1,1
cnn_3_sent0,CNN,worker_10,1
cnn_3_sent0,CNN,worker_0,1
cnn_3_sent1,CNN,worker_1,0
cnn_3_sent1,CNN,worker_10,0
cnn_3_sent1,CNN,worker_0,1
cnn_3_sent2,CNN,worker_1,1
cnn_3_sent2,CNN,worker_10,1
cnn_3_sent2,CNN,worker_0,1
cnn_4_sent0,CNN,worker_2,1
cnn_4_sent0,CNN,worker_13,1
cnn_4_sent0,CNN,worker_44,1
cnn_4_sent1,CNN,worker_2,1
cnn_4_sent1,CNN,worker_13,1
cnn_4_sent1,CNN,worker_44,1
cnn_4_sent2,CNN,worker_2,0
cnn_4_sent2,CNN,worker_13,0
cnn_4_sent2,CNN,worker_44,0
cnn_5_sent0,CNN,worker_3,1
cnn_5_sent0,CNN,worker_11,1
cnn_5_sent0,CNN,worker_8,1
cnn_5_sent1,CNN,worker_3,0
cnn_5_sent1,CNN,worker_11,0
cnn_5_sent1,CNN,worker_8,0
cnn_5_sent2,CNN,worker_3,0
cnn_5_sent2,CNN,worker_11,1
cnn_5_sent2,CNN,worker_8,0
cnn_6_sent0,CNN,worker_5,1
cnn_6_sent0,CNN,worker_0,1
cnn_6_sent0,CNN,worker_41,1
cnn_6_sent1,CNN,worker_5,1
cnn_6_sent1,CNN,worker_0,1
cnn_6_sent1,CNN,worker_41,1
cnn_6_sent2,CNN,worker_5,1
cnn_6_sent2,CNN,worker_0,1
cnn_6_sent2,CNN,worker_41,1
cnn_7_sent0,CNN,worker_0,1
cnn_7_sent0,CNN,worker_8,0
cnn_7_sent0,CNN,worker_34,1
cnn_7_sent1,CNN,worker_0,1
cnn_7_sent1,CNN,worker_8,1
cnn_7_sent1,CNN,worker_34,1
cnn_7_sent2,CNN,worker_0,1
cnn_7_sent2,CNN,worker_8,1
cnn_7_sent2,CNN,worker_34,1
cnn_8_sent0,CNN,worker_7,1
cnn_8_sent0,CNN,worker_10,1
cnn_8_sent0,CNN,worker_11,1
cnn_8_sent1,CNN,worker_7,1
cnn_8_sent1,CNN,worker_10,1
cnn_8_sent1,CNN,worker_11,0
cnn_8_sent2,CNN,worker_7,1
cnn_8_sent2,CNN,worker_10,1
cnn_8_sent2,CNN,worker_11,0
cnn_9_sent0,CNN,worker_9,1
cnn_9_sent0,CNN,worker_0,1
cnn_9_sent0,CNN,worker_3,0
cnn_9_sent1,CNN,worker_9,1
cnn_9_sent1,CNN,worker_0,1
cnn_9_sent1,CNN,worker_3,1
cnn_9_sent2,CNN,worker_9,1
cnn_9_sent2,CNN,worker_0,1
cnn_9_sent2,CNN,worker_3,0
cnn_10_sent0,CNN,worker_11,1
cnn_10_sent0,CNN,worker_39,1
cnn_10_sent0,CNN,worker_16,1
cnn_10_sent1,CNN,worker_11,1
cnn_10_sent1,CNN,worker_39,1
cnn_10_sent1,CNN,worker_16,1
cnn_10_sent2,CNN,worker_11,1
cnn_10_sent2,CNN,worker_39,1
cnn_10_sent2,CNN,worker_16,1
cnn_11_sent0,CNN,worker_12,1
cnn_11_sent0,CNN,worker_17,1
cnn_11_sent0,CNN,worker_46,1
cnn_11_sent1,CNN,worker_12,1
cnn_11_sent1,CNN,worker_17,0
cnn_11_sent1,CNN,worker_46,0
cnn_11_sent2,CNN,worker_12,0
