item_id,majority_vote_label,score
convabuse_056aa717919a44bfbac20a47ebb5ade8_CarbonBot,0,0.0
convabuse_06e505b6fd994571aa01ebea810cc1d4_CarbonBot,0,0.0
convabuse_0cbc093082174521a129fb4288a6edd4_CarbonBot,0,0.0
convabuse_100437.0_E.L.I.Z.A.,0,0.0
convabuse_10044.0_E.L.I.Z.A.,0,0.0
convabuse_101078.0_E.L.I.Z.A.,0,0.0
convabuse_101358.0_E.L.I.Z.A.,0,0.0
convabuse_10141.0_E.L.I.Z.A.,0,0.0
convabuse_101441.0_E.L.I.Z.A.,0,0.0
convabuse_101828.0_E.L.I.Z.A.,0,0.0
convabuse_10206.0_E.L.I.Z.A.,2,1.0
convabuse_10226.0_E.L.I.Z.A.,0,0.0
convabuse_102282.0_E.L.I.Z.A.,2,1.0
convabuse_102421.0_E.L.I.Z.A.,2,1.0
convabuse_102822.0_E.L.I.Z.A.,0,0.0
convabuse_103562.0_E.L.I.Z.A.,0,0.0
convabuse_104271.0_E.L.I.Z.A.,1,0.5
convabuse_104335.0_E.L.I.Z.A.,1,0.5
convabuse_104635.0_E.L.I.Z.A.,0,0.0
convabuse_105101.0_E.L.I.Z.A.,0,0.0
convabuse_105546.0_E.L.I.Z.A.,0,0.0
convabuse_105731.0_E.L.I.Z.A.,0,0.0
convabuse_106184.0_E.L.I.Z.A.,0,0.0
convabuse_106185.0_E.L.I.Z.A.,0,0.0
convabuse_106851.0_E.L.I.Z.A.,0,0.0
convabuse_106970.0_E.L.I.Z.A.,0,0.0
convabuse_107154.0_E.L.I.Z.A.,0,0.0
convabuse_107164.0_E.L.I.Z.A.,0,0.0
convabuse_107195.0_E.L.I.Z.A.,0,0.0
convabuse_107207.0_E.L.I.Z.A.,0,0.0
convabuse_107464.0_E.L.I.Z.A.,1,0.5
convabuse_107548.0_E.L.I.Z.A.,0,0.0
convabuse_107624.0_E.L.I.Z.A.,0,0.0
convabuse_107788.0_E.L.I.Z.A.,0,0.0
convabuse_107880.0_E.L.I.Z.A.,0,0.0
convabuse_107883.0_E.L.I.Z.A.,0,0.0
convabuse_108026.0_E.L.I.Z.A.,0,0.0
convabuse_108243.0_E.L.I.Z.A.,0,0.0
convabuse_108364.0_E.L.I.Z.A.,0,0.0
convabuse_108740.0_E.L.I.Z.A.,0,0.0
convabuse_109365.0_E.L.I.Z.A.,0,0.0
convabuse_109963.0_E.L.I.Z.A.,0,0.0
convabuse_110792.0_E.L.I.Z.A.,0,0.0
convabuse_111076.0_E.L.I.Z.A.,2,1.0
convabuse_111126.0_E.L.I.Z.A.,0,0.0
convabuse_11131.0_E.L.I.Z.A.,1,0.5
convabuse_111715.0_E.L.I.Z.A.,0,0.0
convabuse_112011.0_E.L.I.Z.A.,0,0.0
convabuse_112032.0_E.L.I.Z.A.,0,0.0
convabuse_112244.0_E.L.I.Z.A.,0,0.0
convabuse_112263.0_E.L.I.Z.A.,2,1.0
convabuse_112364.0_E.L.I.Z.A.,0,0.0
convabuse_112623.0_E.L.I.Z.A.,0,0.0
convabuse_112740.0_E.L.I.Z.A.,0,0.0
convabuse_113170.0_E.L.I.Z.A.,0,0.0
convabuse_113297.0_E.L.I.Z.A.,1,0.5
convabuse_113448.0_E.L.I.Z.A.,0,0.0
convabuse_113844.0_E.L.I.Z.A.,0,0.0
convabuse_114009.0_E.L.I.Z.A.,0,0.0
convabuse_114310.0_E.L.I.Z.A.,2,1.0
convabuse_114363.0_E.L.I.Z.A.,2,1.0
convabuse_114374.0_E.L.I.Z.A.,0,0.0
convabuse_114741.0_E.L.I.Z.A.,0,0.0
convabuse_115038.0_E.L.I.Z.A.,0,0.0
convabuse_115344.0_E.L.I.Z.A.,2,1.0
convabuse_115503.0_E.L.I.Z.A.,1,0.5
convabuse_115521.0_E.L.I.Z.A.,0,0.0
convabuse_115545.0_E.L.I.Z.A.,0,0.0
convabuse_115611.0_E.L.I.Z.A.,0,0.0
convabuse_116305.0_E.L.I.Z.A.,0,0.0
convabuse_116482.0_E.L.I.Z.A.,0,0.0
convabuse_116525.0_E.L.I.Z.A.,2,1.0
convabuse_116615.0_E.L.I.Z.A.,0,0.0
convabuse_11666.0_E.L.I.Z.A.,2,1.0
convabuse_11705.0_E.L.I.Z.A.,0,0.0
convabuse_117174.0_E.L.I.Z.A.,0,0.0
convabuse_117194.0_E.L.I.Z.A.,0,0.0
convabuse_117195.0_E.L.I.Z.A.,0,0.0
convabuse_117202.0_E.L.I.Z.A.,0,0.0
convabuse_117280.0_E.L.I.Z.A.,0,0.0
convabuse_117325.0_E.L.I.Z.A.,1,0.5
convabuse_117432.0_E.L.I.Z.A.,0,0.0
convabuse_117662.0_E.L.I.Z.A.,2,1.0
convabuse_117984.0_E.L.I.Z.A.,0,0.0
convabuse_118056.0_E.L.I.Z.A.,0,0.0
convabuse_118181.0_E.L.I.Z.A.,0,0.0
convabuse_118456.0_E.L.I.Z.A.,0,0.0
convabuse_118488.0_E.L.I.Z.A.,0,0.0
convabuse_118609.0_E.L.I.Z.A.,0,0.0
convabuse_118616.0_E.L.I.Z.A.,0,0.0
convabuse_118926.0_E.L.I.Z.A.,0,0.0
convabuse_119450.0_E.L.I.Z.A.,1,0.5
convabuse_11958.0_E.L.I.Z.A.,0,0.0
convabuse_119621.0_E.L.I.Z.A.,2,1.0
convabuse_119629.0_E.L.I.Z.A.,2,1.0
convabuse_119768.0_E.L.I.Z.A.,0,0.0
convabuse_120233.0_E.L.I.Z.A.,0,0.0
convabuse_120274.0_E.L.I.Z.A.,0,0.0
convabuse_120306.0_E.L.I.Z.A.,0,0.0
convabuse_120429.0_E.L.I.Z.A.,0,0.0
convabuse_120528.0_E.L.I.Z.A.,0,0.0
convabuse_121357.0_E.L.I.Z.A.,1,0.5
convabuse_121467.0_E.L.I.Z.A.,0,0.0
convabuse_121628.0_E.L.I.Z.A.,0,0.0
convabuse_121636.0_E.L.I.Z.A.,0,0.0
convabuse_121722.0_E.L.I.Z.A.,0,0.0
convabuse_1219101b0711483b920ae032307712a7_CarbonBot,0,0.0
convabuse_121918.0_E.L.I.Z.A.,0,0.0
convabuse_122372.0_E.L.I.Z.A.,0,0.0
convabuse_122423.0_E.L.I.Z.A.,0,0.0
convabuse_122561.0_E.L.I.Z.A.,2,1.0
convabuse_123195.0_E.L.I.Z.A.,0,0.0
convabuse_123618.0_E.L.I.Z.A.,0,0.0
convabuse_123903.0_E.L.I.Z.A.,0,0.0
convabuse_124089.0_E.L.I.Z.A.,1,0.5
convabuse_124641.0_E.L.I.Z.A.,0,0.0
convabuse_125374.0_E.L.I.Z.A.,0,0.0
convabuse_125427.0_E.L.I.Z.A.,0,0.0
convabuse_126107.0_E.L.I.Z.A.,0,0.0
convabuse_126206.0_E.L.I.Z.A.,0,0.0
convabuse_126522.0_E.L.I.Z.A.,0,0.0
convabuse_12663.0_E.L.I.Z.A.,0,0.0
convabuse_126793.0_E.L.I.Z.A.,0,0.0
convabuse_126802.0_E.L.I.Z.A.,0,0.0
convabuse_126806.0_E.L.I.Z.A.,0,0.0
convabuse_127183.0_E.L.I.Z.A.,0,0.0
convabuse_127332.0_E.L.I.Z.A.,0,0.0
convabuse_127936.0_E.L.I.Z.A.,0,0.0
convabuse_128206.0_E.L.I.Z.A.,0,0.0
convabuse_12844.0_E.L.I.Z.A.,0,0.0
convabuse_128524.0_E.L.I.Z.A.,2,1.0
convabuse_128977.0_E.L.I.Z.A.,0,0.0
convabuse_129057.0_E.L.I.Z.A.,0,0.0
convabuse_12918.0_E.L.I.Z.A.,0,0.0
convabuse_129404.0_E.L.I.Z.A.,0,0.0
convabuse_129954.0_E.L.I.Z.A.,2,1.0
convabuse_130124.0_E.L.I.Z.A.,0,0.0
convabuse_130601.0_E.L.I.Z.A.,2,1.0
convabuse_13074.0_E.L.I.Z.A.,0,0.0
convabuse_13157.0_E.L.I.Z.A.,0,0.0
convabuse_132052.0_E.L.I.Z.A.,0,0.0
convabuse_132123.0_E.L.I.Z.A.,0,0.0
convabuse_132927.0_E.L.I.Z.A.,0,0.0
convabuse_1330.0_E.L.I.Z.A.,2,1.0
convabuse_133030.0_E.L.I.Z.A.,2,1.0
convabuse_133061.0_E.L.I.Z.A.,0,0.0
convabuse_133140.0_E.L.I.Z.A.,0,0.0
convabuse_133184.0_E.L.I.Z.A.,0,0.0
convabuse_133590.0_E.L.I.Z.A.,2,1.0
convabuse_133802.0_E.L.I.Z.A.,0,0.0
convabuse_134767.0_E.L.I.Z.A.,0,0.0
convabuse_13576.0_E.L.I.Z.A.,1,0.5
convabuse_135884.0_E.L.I.Z.A.,0,0.0
convabuse_136249.0_E.L.I.Z.A.,0,0.0
convabuse_136263.0_E.L.I.Z.A.,0,0.0
convabuse_137079.0_E.L.I.Z.A.,2,1.0
convabuse_137117.0_E.L.I.Z.A.,0,0.0
convabuse_137427.0_E.L.I.Z.A.,0,0.0
convabuse_137467.0_E.L.I.Z.A.,0,0.0
convabuse_137638.0_E.L.I.Z.A.,0,0.0
convabuse_137674.0_E.L.I.Z.A.,0,0.0
convabuse_138458.0_E.L.I.Z.A.,0,0.0
convabuse_138943.0_E.L.I.Z.A.,0,0.0
convabuse_139022.0_E.L.I.Z.A.,0,0.0
convabuse_139575.0_E.L.I.Z.A.,1,0.5
convabuse_13960.0_E.L.I.Z.A.,0,0.0
convabuse_140882.0_E.L.I.Z.A.,2,1.0
convabuse_141052.0_E.L.I.Z.A.,0,0.0
convabuse_141063.0_E.L.I.Z.A.,0,0.0
convabuse_141497.0_E.L.I.Z.A.,0,0.0
convabuse_141523.0_E.L.I.Z.A.,0,0.0
convabuse_141591.0_E.L.I.Z.A.,0,0.0
convabuse_141713.0_E.L.I.Z.A.,0,0.0
convabuse_141963.0_E.L.I.Z.A.,0,0.0
convabuse_142184.0_E.L.I.Z.A.,0,0.0
convabuse_142245.0_E.L.I.Z.A.,0,0.0
convabuse_142437.0_E.L.I.Z.A.,2,1.0
convabuse_142513.0_E.L.I.Z.A.,0,0.0
convabuse_142825.0_E.L.I.Z.A.,0,0.0
convabuse_1429578610499307_CarbonBot,0,0.0
convabuse_143863.0_E.L.I.Z.A.,0,0.0
convabuse_144071.0_E.L.I.Z.A.,0,0.0
convabuse_144217.0_E.L.I.Z.A.,0,0.0
convabuse_144380.0_E.L.I.Z.A.,0,0.0
convabuse_144914.0_E.L.I.Z.A.,2,1.0
convabuse_144939.0_E.L.I.Z.A.,0,0.0
convabuse_145897.0_E.L.I.Z.A.,0,0.0
convabuse_146158.0_E.L.I.Z.A.,0,0.0
convabuse_146229.0_E.L.I.Z.A.,0,0.0
convabuse_146243.0_E.L.I.Z.A.,0,0.0
convabuse_146315.0_E.L.I.Z.A.,0,0.0
convabuse_146532.0_E.L.I.Z.A.,2,1.0
convabuse_146569.0_E.L.I.Z.A.,0,0.0
convabuse_146584.0_E.L.I.Z.A.,0,0.0
convabuse_146603.0_E.L.I.Z.A.,0,0.0
convabuse_146867.0_E.L.I.Z.A.,2,1.0
convabuse_14700.0_E.L.I.Z.A.,0,0.0
convabuse_14724.0_E.L.I.Z.A.,0,0.0
