item_id,agent_id,annotator_id,label
mtbench_81_turn1,alpaca-13b,author_2,0
mtbench_81_turn1,gpt-3.5-turbo,author_2,2
mtbench_81_turn2,alpaca-13b,author_2,0
mtbench_81_turn2,gpt-3.5-turbo,author_2,2
mtbench_81_turn1,alpaca-13b,expert_17,0
mtbench_81_turn1,gpt-3.5-turbo,expert_17,2
mtbench_81_turn2,alpaca-13b,expert_17,0
mtbench_81_turn2,gpt-3.5-turbo,expert_17,2
mtbench_81_turn1,alpaca-13b,expert_0,0
mtbench_81_turn1,vicuna-13b-v1.2,expert_0,2
mtbench_81_turn2,alpaca-13b,expert_0,1
mtbench_81_turn2,vicuna-13b-v1.2,expert_0,1
mtbench_81_turn1,claude-v1,expert_37,2
mtbench_81_turn1,alpaca-13b,expert_37,0
mtbench_81_turn2,claude-v1,expert_37,2
mtbench_81_turn2,alpaca-13b,expert_37,0
mtbench_81_turn1,claude-v1,expert_27,2
mtbench_81_turn1,llama-13b,expert_27,0
mtbench_81_turn2,claude-v1,expert_27,1
mtbench_81_turn2,llama-13b,expert_27,1
mtbench_81_turn1,gpt-3.5-turbo,expert_24,2
mtbench_81_turn1,alpaca-13b,expert_24,0
mtbench_81_turn2,gpt-3.5-turbo,expert_24,2
mtbench_81_turn2,alpaca-13b,expert_24,0
mtbench_81_turn1,gpt-3.5-turbo,expert_45,2
mtbench_81_turn1,alpaca-13b,expert_45,0
mtbench_81_turn2,gpt-3.5-turbo,expert_45,2
mtbench_81_turn2,alpaca-13b,expert_45,0
mtbench_81_turn1,gpt-3.5-turbo,expert_11,1
mtbench_81_turn1,claude-v1,expert_11,1
mtbench_81_turn2,gpt-3.5-turbo,expert_11,2
mtbench_81_turn2,claude-v1,expert_11,0
mtbench_81_turn1,gpt-3.5-turbo,expert_24,1
mtbench_81_turn1,vicuna-13b-v1.2,expert_24,1
mtbench_81_turn2,gpt-3.5-turbo,expert_24,2
mtbench_81_turn2,vicuna-13b-v1.2,expert_24,0
mtbench_81_turn1,gpt-4,author_3,2
mtbench_81_turn1,llama-13b,author_3,0
mtbench_81_turn2,gpt-4,author_3,2
mtbench_81_turn2,llama-13b,author_3,0
mtbench_81_turn1,gpt-4,expert_43,2
mtbench_81_turn1,llama-13b,expert_43,0
mtbench_81_turn2,gpt-4,expert_43,2
mtbench_81_turn2,llama-13b,expert_43,0
mtbench_81_turn1,gpt-4,expert_3,2
mtbench_81_turn1,vicuna-13b-v1.2,expert_3,0
mtbench_81_turn2,gpt-4,expert_3,2
mtbench_81_turn2,vicuna-13b-v1.2,expert_3,0
mtbench_81_turn1,vicuna-13b-v1.2,expert_0,0
mtbench_81_turn1,llama-13b,expert_0,2
mtbench_81_turn2,vicuna-13b-v1.2,expert_0,1
mtbench_81_turn2,llama-13b,expert_0,1
mtbench_81_turn1,vicuna-13b-v1.2,expert_10,2
mtbench_81_turn1,llama-13b,expert_10,0
mtbench_81_turn2,vicuna-13b-v1.2,expert_10,2
mtbench_81_turn2,llama-13b,expert_10,0
mtbench_82_turn1,alpaca-13b,expert_46,0
mtbench_82_turn1,gpt-3.5-turbo,expert_46,2
mtbench_82_turn2,alpaca-13b,expert_46,0
mtbench_82_turn2,gpt-3.5-turbo,expert_46,2
mtbench_82_turn1,alpaca-13b,expert_46,1
mtbench_82_turn1,llama-13b,expert_46,1
mtbench_82_turn2,alpaca-13b,expert_46,2
mtbench_82_turn2,llama-13b,expert_46,0
mtbench_82_turn1,alpaca-13b,author_3,0
mtbench_82_turn1,vicuna-13b-v1.2,author_3,2
mtbench_82_turn2,alpaca-13b,author_3,0
mtbench_82_turn2,vicuna-13b-v1.2,author_3,2
mtbench_82_turn1,alpaca-13b,expert_31,2
mtbench_82_turn1,vicuna-13b-v1.2,expert_31,0
mtbench_82_turn2,alpaca-13b,expert_31,2
mtbench_82_turn2,vicuna-13b-v1.2,expert_31,0
mtbench_82_turn1,claude-v1,expert_20,2
mtbench_82_turn1,gpt-3.5-turbo,expert_20,0
mtbench_82_turn2,claude-v1,expert_20,2
mtbench_82_turn2,gpt-3.5-turbo,expert_20,0
mtbench_82_turn1,claude-v1,expert_28,2
mtbench_82_turn1,gpt-4,expert_28,0
mtbench_82_turn2,claude-v1,expert_28,2
mtbench_82_turn2,gpt-4,expert_28,0
mtbench_82_turn1,claude-v1,expert_40,2
mtbench_82_turn1,gpt-4,expert_40,0
mtbench_82_turn2,claude-v1,expert_40,0
mtbench_82_turn2,gpt-4,expert_40,2
mtbench_82_turn1,gpt-3.5-turbo,expert_24,0
mtbench_82_turn1,alpaca-13b,expert_24,2
mtbench_82_turn2,gpt-3.5-turbo,expert_24,1
mtbench_82_turn2,alpaca-13b,expert_24,1
mtbench_82_turn1,gpt-3.5-turbo,expert_26,0
mtbench_82_turn1,alpaca-13b,expert_26,2
mtbench_82_turn2,gpt-3.5-turbo,expert_26,0
mtbench_82_turn2,alpaca-13b,expert_26,2
mtbench_82_turn1,gpt-3.5-turbo,expert_24,1
mtbench_82_turn1,claude-v1,expert_24,1
mtbench_82_turn2,gpt-3.5-turbo,expert_24,0
mtbench_82_turn2,claude-v1,expert_24,2
mtbench_82_turn1,gpt-3.5-turbo,expert_46,2
mtbench_82_turn1,gpt-4,expert_46,0
mtbench_82_turn2,gpt-3.5-turbo,expert_46,0
mtbench_82_turn2,gpt-4,expert_46,2
mtbench_82_turn1,gpt-3.5-turbo,author_0,0
mtbench_82_turn1,llama-13b,author_0,2
mtbench_82_turn2,gpt-3.5-turbo,author_0,2
mtbench_82_turn2,llama-13b,author_0,0
mtbench_82_turn1,gpt-3.5-turbo,author_4,2
mtbench_82_turn1,llama-13b,author_4,0
mtbench_82_turn2,gpt-3.5-turbo,author_4,2
mtbench_82_turn2,llama-13b,author_4,0
mtbench_82_turn1,gpt-3.5-turbo,expert_28,0
mtbench_82_turn1,llama-13b,expert_28,2
mtbench_82_turn2,gpt-3.5-turbo,expert_28,2
mtbench_82_turn2,llama-13b,expert_28,0
mtbench_82_turn1,gpt-3.5-turbo,author_4,2
mtbench_82_turn1,vicuna-13b-v1.2,author_4,0
mtbench_82_turn2,gpt-3.5-turbo,author_4,0
mtbench_82_turn2,vicuna-13b-v1.2,author_4,2
mtbench_82_turn1,gpt-3.5-turbo,expert_2,2
mtbench_82_turn1,vicuna-13b-v1.2,expert_2,0
mtbench_82_turn2,gpt-3.5-turbo,expert_2,0
mtbench_82_turn2,vicuna-13b-v1.2,expert_2,2
mtbench_82_turn1,gpt-3.5-turbo,expert_20,0
mtbench_82_turn1,vicuna-13b-v1.2,expert_20,2
mtbench_82_turn2,gpt-3.5-turbo,expert_20,0
mtbench_82_turn2,vicuna-13b-v1.2,expert_20,2
mtbench_82_turn1,gpt-3.5-turbo,expert_24,1
mtbench_82_turn1,vicuna-13b-v1.2,expert_24,1
mtbench_82_turn2,gpt-3.5-turbo,expert_24,1
mtbench_82_turn2,vicuna-13b-v1.2,expert_24,1
mtbench_82_turn1,gpt-4,author_5,2
mtbench_82_turn1,claude-v1,author_5,0
mtbench_82_turn2,gpt-4,author_5,2
mtbench_82_turn2,claude-v1,author_5,0
mtbench_82_turn1,gpt-4,expert_2,0
mtbench_82_turn1,claude-v1,expert_2,2
mtbench_82_turn2,gpt-4,expert_2,0
mtbench_82_turn2,claude-v1,expert_2,2
mtbench_82_turn1,gpt-4,expert_50,0
mtbench_82_turn1,claude-v1,expert_50,2
mtbench_82_turn2,gpt-4,expert_50,0
mtbench_82_turn2,claude-v1,expert_50,2
mtbench_82_turn1,gpt-4,expert_57,0
mtbench_82_turn1,vicuna-13b-v1.2,expert_57,2
mtbench_82_turn2,gpt-4,expert_57,2
mtbench_82_turn2,vicuna-13b-v1.2,expert_57,0
mtbench_82_turn1,llama-13b,author_5,0
mtbench_82_turn1,gpt-4,author_5,2
mtbench_82_turn2,llama-13b,author_5,0
mtbench_82_turn2,gpt-4,author_5,2
mtbench_82_turn1,llama-13b,expert_48,0
mtbench_82_turn1,gpt-4,expert_48,2
mtbench_82_turn2,llama-13b,expert_48,0
mtbench_82_turn2,gpt-4,expert_48,2
mtbench_82_turn1,llama-13b,expert_51,0
mtbench_82_turn1,gpt-4,expert_51,2
mtbench_82_turn2,llama-13b,expert_51,0
mtbench_82_turn2,gpt-4,expert_51,2
mtbench_82_turn1,llama-13b,expert_21,2
mtbench_82_turn1,vicuna-13b-v1.2,expert_21,0
mtbench_82_turn2,llama-13b,expert_21,0
mtbench_82_turn2,vicuna-13b-v1.2,expert_21,2
mtbench_82_turn1,vicuna-13b-v1.2,expert_50,0
mtbench_82_turn1,gpt-3.5-turbo,expert_50,2
mtbench_82_turn2,vicuna-13b-v1.2,expert_50,2
mtbench_82_turn2,gpt-3.5-turbo,expert_50,0
mtbench_82_turn1,vicuna-13b-v1.2,expert_11,0
mtbench_82_turn1,gpt-4,expert_11,2
mtbench_82_turn2,vicuna-13b-v1.2,expert_11,0
mtbench_82_turn2,gpt-4,expert_11,2
mtbench_82_turn1,vicuna-13b-v1.2,expert_45,2
mtbench_82_turn1,llama-13b,expert_45,0
mtbench_82_turn2,vicuna-13b-v1.2,expert_45,2
mtbench_82_turn2,llama-13b,expert_45,0
mtbench_83_turn1,alpaca-13b,expert_1,0
mtbench_83_turn1,claude-v1,expert_1,2
mtbench_83_turn2,alpaca-13b,expert_1,0
mtbench_83_turn2,claude-v1,expert_1,2
mtbench_83_turn1,claude-v1,expert_12,2
mtbench_83_turn1,gpt-3.5-turbo,expert_12,0
mtbench_83_turn2,claude-v1,expert_12,2
mtbench_83_turn2,gpt-3.5-turbo,expert_12,0
mtbench_83_turn1,claude-v1,expert_23,2
mtbench_83_turn1,llama-13b,expert_23,0
mtbench_83_turn2,claude-v1,expert_23,0
mtbench_83_turn2,llama-13b,expert_23,2
mtbench_83_turn1,gpt-3.5-turbo,author_0,2
mtbench_83_turn1,claude-v1,author_0,0
mtbench_83_turn2,gpt-3.5-turbo,author_0,2
mtbench_83_turn2,claude-v1,author_0,0
mtbench_83_turn1,gpt-4,author_5,0
mtbench_83_turn1,alpaca-13b,author_5,2
mtbench_83_turn2,gpt-4,author_5,0
mtbench_83_turn2,alpaca-13b,author_5,2
mtbench_83_turn1,gpt-4,expert_42,1
mtbench_83_turn1,alpaca-13b,expert_42,1
mtbench_83_turn2,gpt-4,expert_42,2
mtbench_83_turn2,alpaca-13b,expert_42,0
mtbench_83_turn1,gpt-4,expert_8,2
mtbench_83_turn1,alpaca-13b,expert_8,0
mtbench_83_turn2,gpt-4,expert_8,2
mtbench_83_turn2,alpaca-13b,expert_8,0
mtbench_83_turn1,gpt-4,expert_36,0
mtbench_83_turn1,claude-v1,expert_36,2
mtbench_83_turn2,gpt-4,expert_36,2
mtbench_83_turn2,claude-v1,expert_36,0
mtbench_83_turn1,gpt-4,expert_51,0
mtbench_83_turn1,claude-v1,expert_51,2
mtbench_83_turn1,gpt-4,expert_35,0
mtbench_83_turn1,gpt-3.5-turbo,expert_35,2
mtbench_83_turn2,gpt-4,expert_35,1
mtbench_83_turn2,gpt-3.5-turbo,expert_35,1
mtbench_83_turn1,llama-13b,expert_21,0
mtbench_83_turn1,gpt-3.5-turbo,expert_21,2
mtbench_83_turn2,llama-13b,expert_21,1
mtbench_83_turn2,gpt-3.5-turbo,expert_21,1
mtbench_83_turn1,llama-13b,expert_9,0
mtbench_83_turn1,gpt-4,expert_9,2
mtbench_83_turn2,llama-13b,expert_9,0
mtbench_83_turn2,gpt-4,expert_9,2
mtbench_83_turn1,llama-13b,expert_32,0
mtbench_83_turn1,vicuna-13b-v1.2,expert_32,2
mtbench_83_turn2,llama-13b,expert_32,0
mtbench_83_turn2,vicuna-13b-v1.2,expert_32,2
