item_id,majority_vote_label,score
mhs_1015_0,2,1.0
mhs_10345_0,2,1.0
mhs_10385_0,0,0.0
mhs_10724_0,0,0.0
mhs_10750_0,2,1.0
mhs_11176_0,1,0.5
mhs_11206_0,2,1.0
mhs_12146_0,2,1.0
mhs_12186_0,0,0.0
mhs_12215_0,0,0.0
mhs_1224_0,0,0.0
mhs_12271_0,0,0.0
mhs_12284_0,0,0.0
mhs_12698_0,0,0.0
mhs_13266_0,0,0.0
mhs_13487_0,1,0.5
mhs_13749_0,0,0.0
mhs_13781_0,2,1.0
mhs_13827_0,2,1.0
mhs_13831_0,2,1.0
mhs_13836_0,0,0.0
mhs_14080_0,2,1.0
mhs_14134_0,0,0.0
mhs_14257_0,0,0.0
mhs_14327_0,2,1.0
mhs_1479_0,0,0.0
mhs_14854_0,2,1.0
mhs_14922_0,1,0.5
mhs_15175_0,1,0.5
mhs_15414_0,0,0.0
mhs_15607_0,0,0.0
mhs_15886_0,2,1.0
mhs_15921_0,2,1.0
mhs_16057_0,2,1.0
mhs_16224_0,0,0.0
mhs_1647_0,2,1.0
mhs_16575_0,0,0.0
mhs_16630_0,0,0.0
mhs_17609_0,0,0.0
mhs_17728_0,0,0.0
mhs_17796_0,0,0.0
mhs_17849_0,0,0.0
mhs_17990_0,0,0.0
mhs_18553_0,0,0.0
mhs_1878_0,0,0.0
mhs_18799_0,2,1.0
mhs_19104_0,0,0.0
mhs_19425_0,0,0.0
mhs_19639_0,0,0.0
mhs_20001_1,2,1.0
mhs_20002_1,2,1.0
mhs_20003_1,2,1.0
mhs_20004_1,2,1.0
mhs_20005_1,2,1.0
mhs_20006_1,1,0.5
mhs_20007_1,2,1.0
mhs_20008_1,2,1.0
mhs_20009_1,2,1.0
mhs_20010_1,2,1.0
mhs_20011_1,2,1.0
mhs_20012_1,2,1.0
mhs_20013_1,2,1.0
mhs_20014_1,2,1.0
mhs_20015_1,2,1.0
mhs_20016_1,2,1.0
mhs_20017_1,2,1.0
