item_id,majority_vote_label,score
mslr_Cochrane_CD000972_JB6Z8F,1,0.5
mslr_Cochrane_CD001487_SPNXTA,1,0.5
mslr_Cochrane_CD002282_8FWF5T,2,1.0
mslr_Cochrane_CD002282_PX7SGV,2,1.0
mslr_Cochrane_CD002282_SPNXTA,2,1.0
mslr_Cochrane_CD002873_8FWF5T,1,0.5
mslr_Cochrane_CD002873_AQ85CE,1,0.5
mslr_Cochrane_CD002873_JB6Z8F,1,0.5
mslr_Cochrane_CD002873_PX7SGV,2,1.0
mslr_Cochrane_CD002873_SPNXTA,2,1.0
mslr_Cochrane_CD002873_VNCH8M,2,1.0
mslr_Cochrane_CD002988_PX7SGV,0,0.0
mslr_Cochrane_CD003219_8FWF5T,1,0.5
mslr_Cochrane_CD003420_PX7SGV,1,0.5
mslr_Cochrane_CD003700_8FWF5T,1,0.5
mslr_Cochrane_CD003700_AQ85CE,1,0.5
mslr_Cochrane_CD003700_JB6Z8F,1,0.5
mslr_Cochrane_CD003700_PX7SGV,1,0.5
mslr_Cochrane_CD003700_SPNXTA,2,1.0
mslr_Cochrane_CD003700_VNCH8M,1,0.5
mslr_Cochrane_CD004787_PX7SGV,2,1.0
mslr_Cochrane_CD006033_SPNXTA,1,0.5
mslr_Cochrane_CD006771_8FWF5T,1,0.5
mslr_Cochrane_CD006771_JB6Z8F,2,1.0
mslr_Cochrane_CD006883_VNCH8M,1,0.5
mslr_Cochrane_CD007579_JB6Z8F,2,1.0
mslr_Cochrane_CD007979_JB6Z8F,0,0.0
mslr_Cochrane_CD008216_VNCH8M,1,0.5
mslr_Cochrane_CD008288_8FWF5T,2,1.0
mslr_Cochrane_CD008493_8FWF5T,0,0.0
mslr_Cochrane_CD008493_AQ85CE,1,0.5
mslr_Cochrane_CD008493_JB6Z8F,1,0.5
mslr_Cochrane_CD008493_PX7SGV,1,0.5
mslr_Cochrane_CD008493_SPNXTA,1,0.5
mslr_Cochrane_CD008493_VNCH8M,2,1.0
mslr_Cochrane_CD008510_JB6Z8F,1,0.5
mslr_Cochrane_CD009202_8FWF5T,1,0.5
mslr_Cochrane_CD009202_AQ85CE,2,1.0
mslr_Cochrane_CD009275_PX7SGV,2,1.0
